,iata,iso,name,continent,type,lat,lon,size,status
3151,KFS,TR,Kastamonu Airport,AS,airport,41.306446,33.794952,small,1
3152,KYA,TR,Konya Airport,AS,airport,37.979168,32.56222,medium,1
3153,MZH,TR,Amasya Merzifon Airport,AS,airport,40.88333,35.533333,medium,1
3154,SSX,TR,Samsun Samair Airport,AS,airport,41.27833,36.30361,small,1
3155,VAS,TR,Sivas Airport,AS,airport,39.81389,36.904167,medium,1
3156,ONQ,TR,Zonguldak Airport,AS,airport,41.516666,32.1,small,1
3157,MLX,TR,,AS,airport,38.354443,38.253613,medium,1
3158,ASR,TR,Kayseri Erkilet Airport,AS,airport,38.7742,35.490707,medium,1
3159,TJK,TR,Tokat Airport,AS,airport,40.302223,36.36778,medium,1
3160,DNZ,TR,,AS,airport,37.787224,29.703333,medium,1
3161,NAV,TR,Nev?ehir Kapadokya International Airport,AS,airport,38.63333,34.716667,large,1
3162,LTB,AU,Latrobe Airport,OC,closed,,,,0
3163,IST,TR,,EU,airport,40.976665,28.815277,large,1
3164,BTZ,TR,Bursa Airport,AS,airport,40.234444,29.009722,small,1
3165,BZI,TR,Bal?kesir Merkez Airport,AS,airport,39.61722,27.927778,medium,1
3166,BDM,TR,Band?rma Airport,AS,airport,40.318333,27.977222,medium,1
3167,CKZ,TR,,AS,airport,40.13333,26.4,medium,1
3168,ESK,TR,Eski?ehir Air Base,AS,airport,39.784138,30.582111,medium,1
3169,ADB,TR,Adnan Menderes International Airport,AS,airport,38.294403,27.147594,large,1
3170,IGL,TR,,AS,airport,38.31889,27.159445,medium,1
3171,USQ,TR,U?ak Airport,AS,airport,38.68222,29.471945,small,1
3172,KCO,TR,Cengiz Topel Airport,AS,airport,40.735027,30.083336,medium,1
3173,YEI,TR,Bursa Yeni?ehir Airport,AS,airport,40.233334,29.55,medium,1
3174,DLM,TR,Dalaman International Airport,AS,airport,36.717552,28.794546,large,1
3175,TEQ,TR,,EU,airport,40.966667,27.5,medium,1
3176,BXN,TR,Ims?k Airport,AS,airport,37.134724,27.667221,small,1
3177,AOE,TR,Anadolu University Airport,AS,airport,39.81,30.519444,medium,1
3178,EZS,TR,Elaz?? Airport,AS,airport,38.608334,39.291668,medium,1
3179,DIY,TR,Diyarbakir Airport,AS,airport,37.903873,40.20458,medium,1
3180,ERC,TR,Erzincan Airport,AS,airport,39.711666,39.516945,medium,1
3181,ERZ,TR,Erzurum International Airport,AS,airport,39.955555,41.17361,large,1
3182,KSY,TR,Kars Airport,AS,airport,40.551666,43.085835,medium,1
3183,TZX,TR,Trabzon International Airport,AS,airport,40.99419,39.78168,large,1
3184,SFQ,TR,?anl?urfa Airport,AS,airport,37.085278,38.85,medium,1
3185,VAN,TR,Van Ferit Melen Airport,AS,airport,38.45861,43.332222,medium,1
3186,BAL,TR,Batman Airport,AS,airport,37.916668,41.083332,medium,1
3187,MSR,TR,Mu? Airport,AS,airport,38.725,41.625,medium,1
3188,SXZ,TR,Siirt Airport,AS,airport,37.98,41.84,medium,1
3189,SIC,TR,Sinop Airport,AS,airport,42.0175,35.06889,small,1
3190,KCM,TR,Kahramanmara? Airport,AS,airport,37.534443,36.950558,medium,1
3191,AJI,TR,A?r? Airport,AS,airport,39.65,43.025,medium,1
3192,ADF,TR,Ad?yaman Airport,AS,airport,37.75,38.266666,medium,1
3193,MQM,TR,Mardin Airport,AS,airport,37.2233,40.6317,medium,1
3194,GNY,TR,?anl?urfa GAP Airport,AS,airport,37.094166,38.846943,medium,1
3195,HTY,TR,Hatay Airport,AS,airport,36.364544,36.28057,medium,1
3196,ISE,TR,,AS,airport,37.86611,30.382221,large,1
3197,EDO,TR,,AS,airport,39.583332,27.033333,medium,1
3198,BJV,TR,Milas Bodrum International Airport,AS,airport,37.243954,27.672781,large,1
3199,SZF,TR,,AS,airport,41.25738,36.555058,medium,1
3200,SAW,TR,,AS,airport,40.904675,29.309189,large,1
3201,GZP,TR,Gazipa?a Airport,AS,airport,36.2993,32.3014,medium,1
3202,BZY,MD,Balti International Airport,EU,airport,47.75,27.933332,medium,1
